#/gcsv export of scid.eco
ECO,Opening,Moves
A00a,"Start/gposition",*
A00b,"Barnes/gOpening",1.f3 *
A00b,"Fried/gfox",1.f3 e5 2.Kf2 *
A00c,"Kadas/gOpening",1.h4 *
A00d,"Clemenz/gOpening",1.h3 *
A00e,"Ware/gOpening",1.a4 *
A00f,"Anderssen/gOpening",1.a3 *
A00f,"Creepy/gCrawly Opening (Basman)",1.a3 e5 2.h3 d5 *
A00g,"Amar/Paris/gOpening",1.Nh3 *
A00g,"Amar:/gParis Gambit",1.Nh3 d5 2.g3 e5 3.f4 *
A00h,"Durkin",1.Na3/g*
A00i,"Saragossa",1.c3/g*
A00j,"Mieses",1.d3/g*
A00j,"Mieses:/g1...e5",1.d3 e5 *
A00j,"Mieses:/g1...d5",1.d3 d5 *
A00j,"Spike/gDeferred",1.d3 g6 2.g4 *
A00k,"Van/gKruijs",1.e3 *
A00l,"Van/gGeet (Dunst) Opening",1.Nc3 *
A00l,"Van/gGeet: 1...Nf6",1.Nc3 Nf6 *
A00l,"Van/gGeet: 1...Nf6 2.Nf3",1.Nc3 Nf6 2.Nf3 *
A00l,"Van/gGeet: Tuebingen Gambit",1.Nc3 Nf6 2.g4 *
A00l,"Van/gGeet: 1...e5",1.Nc3 e5 *
A00l,"Van/gGeet: 1...e5 2.Nf3",1.Nc3 e5 2.Nf3 *
A00l,"Van/gGeet: Sicilian Variation",1.Nc3 c5 *
A00l,"Van/gGeet: Sicilian Variation, 2.Nf3",1.Nc3 c5 2.Nf3 *
A00l,"Van/gGeet: Sicilian Variation, 2.Nf3 Nc6",1.Nc3 c5 2.Nf3 Nc6 *
A00m,"Van/gGeet: 1...d5",1.Nc3 d5 *
A00m,"Van/gGeet: 1...d5 2.Nf3",1.Nc3 d5 2.Nf3 *
A00m,"Van/gGeet: 1...d5 2.Nf3 Nf6",1.Nc3 d5 2.Nf3 Nf6 *
A00m,"Van/gGeet: 1...d5 2.e4",1.Nc3 d5 2.e4 *
A00m,"Van/gGeet: 1...d5 2.e4 d4",1.Nc3 d5 2.e4 d4 *
A00m,"Van/gGeet: 1...d5 2.e4 dxe4",1.Nc3 d5 2.e4 dxe4 *
A00m,"Van/gGeet: Hector Gambit",1.Nc3 d5 2.e4 dxe4 3.Bc4 *
A00n,"Grob",1.g4/g*
A00n,"Grob:/gAlessi Gambit",1.g4 f5 *
A00n,"Grob:/gDouble Grob",1.g4 g5 *
A00n,"Grob:/g1...e5",1.g4 e5 *
A00o,"Grob:/g1...d5",1.g4 d5 *
A00o,"Grob/gGambit",1.g4 d5 2.Bg2 *
A00o,"Grob/gGambit: e5",1.g4 d5 2.Bg2 e5 *
A00o,"Grob/gGambit: Hurst Attack",1.g4 d5 2.Bg2 e5 3.c4 *
A00o,"Grob/gGambit: 2...c6",1.g4 d5 2.Bg2 c6 *
A00o,"Grob/gGambit: Spike Attack",1.g4 d5 2.Bg2 c6 3.g5 *
A00o,"Grob/gGambit Accepted",1.g4 d5 2.Bg2 Bxg4 *
A00o,"Grob/gGambit Accepted: Fritz Gambit",1.g4 d5 2.Bg2 Bxg4 3.c4 *
A00p,"Polish/g(Sokolsky; Orang-Utan)",1.b4 *
A00p,"Polish:/gBirmingham Gambit",1.b4 c5 *
A00p,"Polish:/g1...Nf6",1.b4 Nf6 *
A00p,"Polish:/g1...Nf6 2.Bb2",1.b4 Nf6 2.Bb2 *
A00p,"Polish:/g1...Nf6 2.Bb2 e6",1.b4 Nf6 2.Bb2 e6 *
A00p,"Polish:/g1...c6",1.b4 c6 *
A00p,"Polish:/gSchuehler Gambit",1.b4 c6 2.Bb2 a5 3.b5 *
A00q,"Polish:/g1...d5",1.b4 d5 *
A00q,"Polish:/g1...d5 2.Bb2",1.b4 d5 2.Bb2 *
A00q,"Polish:/g1...d5 2.Bb2 Bf5",1.b4 d5 2.Bb2 Bf5 *
A00q,"Polish:/g1...d5 2.Bb2 Nf6",1.b4 d5 2.Bb2 Nf6 *
A00q,"Polish:/g1...d5 2.Bb2 Nf6 3.e3",1.b4 d5 2.Bb2 Nf6 3.e3 *
A00r,"Polish:/g1...e5",1.b4 e5 *
A00r,"Polish:/gBugayev Attack",1.b4 e5 2.a3 *
A00r,"Polish:/g1...e5 2.Bb2",1.b4 e5 2.Bb2 *
A00r,"Polish:/gWolfertz Gambit",1.b4 e5 2.Bb2 c5 *
A00r,"Polish:/g1...e5 2.Bb2 f6",1.b4 e5 2.Bb2 f6 *
A00r,"Polish:/gTartakower Gambit",1.b4 e5 2.Bb2 f6 3.e4 Bxb4 *
A00r,"Polish:/g1...e5 2.Bb2 d6",1.b4 e5 2.Bb2 d6 *
A00s,"Polish:/g2...Bxb4",1.b4 e5 2.Bb2 Bxb4 *
A00s,"Polish:/g2...Bxb4 3.Bxe5",1.b4 e5 2.Bb2 Bxb4 3.Bxe5 *
A00s,"Polish:/g2...Bxb4 3.Bxe5 Nf6",1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 *
A00s,"Polish:/g2...Bxb4 3.Bxe5 Nf6 4.c4",1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 4.c4 *
A00s,"Polish:/g2...Bxb4 3.Bxe5 Nf6 4.Nf3",1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 4.Nf3 *
A00t,"Benko/gOpening",1.g3 *
A00t,"Benko/gOpening",1.g3 Nf6 *
A00t,"Benko/gOpening: Symmetrical",1.g3 g6 *
A00u,"Benko/gOpening",1.g3 e5 *
A00v,"Benko/gOpening",1.g3 d5 *
A00v,"Benko/gOpening",1.g3 d5 2.Bg2 *
A00v,"Benko/gOpening",1.g3 d5 2.Bg2 c6 *
A00v,"Benko/gOpening",1.g3 d5 2.Bg2 e5 *
A00v,"Benko/gOpening",1.g3 d5 2.Bg2 Nf6 *
A01,"Nimzowitsch-Larsen/gAttack",1.b3 *
A01,"Nimzowitsch-Larsen:/gPolish Variation",1.b3 b5 *
A01,"Nimzowitsch-Larsen:/gSymmetrical",1.b3 b6 *
A01,"Nimzowitsch-Larsen:/gDutch Variation",1.b3 f5 *
A01,"Nimzowitsch-Larsen:/gRingelbach Gambit",1.b3 f5 2.Bb2 e6 3.e4 *
A01,"Nimzowitsch-Larsen:/gEnglish Variation",1.b3 c5 *
A01,"Nimzowitsch-Larsen:/gIndian Variation",1.b3 Nf6 *
A01,"Nimzowitsch-Larsen:/gIndian Variation",1.b3 Nf6 2.Bb2 g6 *
A01,"Nimzowitsch-Larsen:/gSpike Variation",1.b3 Nf6 2.Bb2 g6 3.g4 *
A01,"Nimzowitsch-Larsen:/g1...d5",1.b3 d5 *
A01,"Nimzowitsch-Larsen:/g1...d5 2.Bb2",1.b3 d5 2.Bb2 *
A01,"Nimzowitsch-Larsen:/g1...e5",1.b3 e5 *
A01,"Nimzowitsch-Larsen:/g1...e5 2.Bb2",1.b3 e5 2.Bb2 *
A01,"Nimzowitsch-Larsen:/g1...e5 2.Bb2 d6",1.b3 e5 2.Bb2 d6 *
A01,"Nimzowitsch-Larsen:/g1...e5 2.Bb2 Nc6",1.b3 e5 2.Bb2 Nc6 *
A01,"Nimzowitsch-Larsen:/gPaschmann Gambit",1.b3 e5 2.Bb2 Nc6 3.f4 *
A01,"Nimzowitsch-Larsen:/g1...e5 2.Bb2 Nc6 3.e3",1.b3 e5 2.Bb2 Nc6 3.e3 *
A02,"Bird",1.f4/g*
A02,"Bird:/gHobbs Gambit",1.f4 g5 *
A02,"Bird:/gSymmetrical",1.f4 f5 *
A02,"Bird:/gSwiss Gambit",1.f4 f5 2.e4 *
A02,"Bird:/gSwiss Gambit",1.f4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4 *
A02,"Bird:/g1..d6",1.f4 d6 *
A02,"Bird:/g1..g6",1.f4 g6 *
A02,"Bird:/g1..g6",1.f4 g6 2.Nf3 Bg7 3.e3 *
A02,"Bird:/g1..g6",1.f4 g6 2.Nf3 Bg7 3.g3 *
A02,"Bird:/g1..c5",1.f4 c5 *
A02,"Bird:/g1..c5 2.Nf3 Nc6",1.f4 c5 2.Nf3 Nc6 *
A02,"Bird:/gFrom Gambit",1.f4 e5 *
A02,"Bird:/gFrom Gambit Accepted",1.f4 e5 2.fxe5 *
A02,"Bird:/gFrom Gambit, Schlecter",1.f4 e5 2.fxe5 Nc6 *
A02,"Bird:/gFrom Gambit, 2...d6",1.f4 e5 2.fxe5 d6 *
A02,"Bird:/gFrom Gambit, 3.exd6",1.f4 e5 2.fxe5 d6 3.exd6 *
A02,"Bird:/gFrom Gambit, Langheld Gambit",1.f4 e5 2.fxe5 d6 3.exd6 Nf6 *
A02,"Bird:/gFrom Gambit, 3...Bxd6",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 *
A02,"Bird:/gFrom Gambit, Lipke",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 Nh6 5.d4 *
A02,"Bird:/gFrom Gambit, Lasker Variation",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 *
A02,"Bird:/gFrom Gambit, Lasker, 5.d4",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.d4 *
A02,"Bird:/gFrom Gambit, Lasker, Queenswap Line",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.d4 g4 6.Ne5 Bxe5 7.dxe5 Qxd1+ *
A02,"Bird:/gFrom Gambit, Lasker, 5.g3",1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.g3 *
A02,"Bird:/g1..Nf6",1.f4 Nf6 *
A02,"Bird:/g1..Nf6 2.g3",1.f4 Nf6 2.g3 *
A02,"Bird:/g1..Nf6 2.e3",1.f4 Nf6 2.e3 *
A02,"Bird:/g1..Nf6 2.b3",1.f4 Nf6 2.b3 *
A02,"Bird:/g1..Nf6 2.Nf3",1.f4 Nf6 2.Nf3 *
A02,"Bird:/g1..Nf6 2.Nf3 d6",1.f4 Nf6 2.Nf3 d6 *
A02,"Bird:/g1..Nf6 2.Nf3 c5",1.f4 Nf6 2.Nf3 c5 *
A02,"Bird:/g1..Nf6 2.Nf3 g6",1.f4 Nf6 2.Nf3 g6 *
A02,"Bird:/gBatavo Polish Attack",1.f4 Nf6 2.Nf3 g6 3.b4 *
A02,"Bird:/g1..Nf6 2.Nf3 g6 3.g3",1.f4 Nf6 2.Nf3 g6 3.g3 *
A02,"Bird:/g1..Nf6 2.Nf3 g6 3.g3",1.f4 Nf6 2.Nf3 g6 3.g3 Bg7 4.Bg2 *
A02,"Bird:/g1..Nf6 2.Nf3 g6 3.g3",1.f4 Nf6 2.Nf3 g6 3.g3 Bg7 4.Bg2 d6 *
A03,"Bird:/g1...d5",1.f4 d5 *
A03,"Bird:/gDudweiler Gambit",1.f4 d5 2.g4 *
A03,"Bird:/gSturm Gambit",1.f4 d5 2.c4 *
A03,"Bird:/gWilliams Gambit",1.f4 d5 2.e4 *
A03,"Bird:/g1...d5 2.b3",1.f4 d5 2.b3 *
A03,"Bird:/g1...d5 2.b3",1.f4 d5 2.b3 Nf6 *
A03,"Bird:/g1...d5 2.b3",1.f4 d5 2.b3 Nf6 3.Bb2 *
A03,"Bird:/g1...d5 2.g3",1.f4 d5 2.g3 *
A03,"Bird:/g1...d5 2.g3",1.f4 d5 2.g3 Nf6 *
A03,"Bird:/g1...d5 2.g3",1.f4 d5 2.g3 Nf6 3.Bg2 *
A03,"Bird:/gLasker Variation",1.f4 d5 2.e3 *
A03,"Bird:/gLasker Variation",1.f4 d5 2.e3 Nf6 *
A03,"Bird:/g1...d5 2.Nf3",1.f4 d5 2.Nf3 *
A03,"Bird:/g1...d5 2.Nf3 c5",1.f4 d5 2.Nf3 c5 *
A03,"Bird:/gBatavo Gambit",1.f4 d5 2.Nf3 c5 3.e4 *
A03,"Bird:/g1...d5 2.Nf3 c5 3.e3",1.f4 d5 2.Nf3 c5 3.e3 *
A03,"Bird:/g1...d5 2.Nf3 g6",1.f4 d5 2.Nf3 g6 *
A03,"Bird:/g1...d5 2.Nf3 g6 3.e3",1.f4 d5 2.Nf3 g6 3.e3 *
A03,"Bird:/g1...d5 2.Nf3 g6 3.g3",1.f4 d5 2.Nf3 g6 3.g3 *
A03,"Bird:/g1...d5 2.Nf3 g6 3.g3",1.f4 d5 2.Nf3 g6 3.g3 Bg7 4.Bg2 *
A03,"Bird:/g1...d5 2.Nf3 Nf6",1.f4 d5 2.Nf3 Nf6 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.b3",1.f4 d5 2.Nf3 Nf6 3.b3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3",1.f4 d5 2.Nf3 Nf6 3.g3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.d3",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.d3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O 6.d3",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 c6 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c5",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 c5 *
A03,"Bird:/gLasker Variation",1.f4 d5 2.Nf3 Nf6 3.e3 *
A03,"Bird:/gLasker, 3...Bg4",1.f4 d5 2.Nf3 Nf6 3.e3 Bg4 *
A03,"Bird:/gLasker, 3...e6",1.f4 d5 2.Nf3 Nf6 3.e3 e6 *
A03,"Bird:/gLasker, 3...c5",1.f4 d5 2.Nf3 Nf6 3.e3 c5 *
A03,"Bird:/gLasker, 3...c5 4.b3",1.f4 d5 2.Nf3 Nf6 3.e3 c5 4.b3 *
A03,"Bird:/gLasker, 3...g6",1.f4 d5 2.Nf3 Nf6 3.e3 g6 *
A04,"Reti",1.Nf3/g*
A04,"Reti:/gHerrstrom Gambit",1.Nf3 g5 *
A04,"Reti:/g1...b6",1.Nf3 b6 *
A04,"Reti:/g1...b5",1.Nf3 b5 *
A04,"Reti:/g1...Nc6",1.Nf3 Nc6 *
A04,"Reti:/g1...e6",1.Nf3 e6 *
A04,"Reti:/g1...e6",1.Nf3 e6 2.g3 *
A04,"Reti:/g1...g6",1.Nf3 g6 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 Bg7 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 Bg7 3.Bg2 *
A04,"Reti:/g1...f5",1.Nf3 f5 *
A04,"Reti:/g1...f5 2.d3",1.Nf3 f5 2.d3 *
A04,"Reti:/g1...f5 2.d3 Nf6",1.Nf3 f5 2.d3 Nf6 *
A04,"Reti:/gLisitsin Deferred",1.Nf3 f5 2.d3 Nf6 3.e4 *
A04,"Reti:/g1...f5 2.g3",1.Nf3 f5 2.g3 *
A04,"Reti:/gLisitsin",1.Nf3 f5 2.e4 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 4.d3 e5 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 4.d3 e3 *
A04,"Reti:/gLisitsin: 3.Ng5 e5",1.Nf3 f5 2.e4 fxe4 3.Ng5 e5 *
A04,"Reti:/gLisitsin: 3.Ng5 d5",1.Nf3 f5 2.e4 fxe4 3.Ng5 d5 *
A04,"Reti:/g1...d6",1.Nf3 d6 *
A04,"Reti:/g1...c5",1.Nf3 c5 *
A04,"Reti:/g1...c5, Nimzowitsch-Larsen",1.Nf3 c5 2.b3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 b6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 b6 3.Bg2 Bb7 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 Nf6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 Nf6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 d6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 e6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 Nc6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 Nc6 3.Bg2 *
A05,"Reti:/g1...Nf6",1.Nf3 Nf6 *
A05,"Reti:/g1...Nf6 2.b3",1.Nf3 Nf6 2.b3 *
A05,"Reti:/gSantasiere's folly",1.Nf3 Nf6 2.b4 *
A05,"Reti:/g1...Nf6 2.e3",1.Nf3 Nf6 2.e3 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 3.Bg2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 3.Bg2 Nc6 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 b6 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 b6 3.Bg2 *
